Altium Designer Pick and Place Locations
C:\Users\chrichar\Dropbox\VESC\VESC Legacy\ESC type 4\Project Outputs for ESC_type_4_000\Pick Place\Pick Place for ESC_type_4_000.txt

========================================================================================================================
File Design Information:

Date:       27/11/19
Time:       11:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                         Layer       Footprint                Center-X(mil) Center-Y(mil) Rotation Description                             
C50        CAP                             TopLayer    SMD-1206_Capacitor       -704.724      -283.465      90       "4.7µF 100V Ceramic Capacitor X7S 1206" 
C13        "Voltage important"             TopLayer    SMD-0603_Capacitor       -149.606      -1992.126     360      "CAP 2.2u, 16V, 0603"                   
C111       CAP                             BottomLayer SMD-1206_Capacitor       -1432.617     -720.472      180      "4.7µF 100V Ceramic Capacitor X7S 1206" 
C110       CAP                             BottomLayer SMD-1206_Capacitor       -1874.016     -720.472      360      "4.7µF 100V Ceramic Capacitor X7S 1206" 
C109       CAP                             BottomLayer SMD-1206_Capacitor       -1035.433     -303.150      180      "4.7µF 100V Ceramic Capacitor X7S 1206" 
C108       CAP                             BottomLayer SMD-1206_Capacitor       -2264.764     -460.630      360      "4.7µF 100V Ceramic Capacitor X7S 1206" 
D101       D_TVS_1                         TopLayer    SMC-403-03               -1574.803     -1062.992     180      "TVS DIODE 51VWM 82.4VC SMC"            
C107       CAP                             BottomLayer SMD-1206_Capacitor       -2264.764     -377.953      360      "4.7µF 100V Ceramic Capacitor X7S 1206" 
X1B        MINI_USB                        BottomLayer USB-MICRO_B_RA_SMT-TH    -584.646      -2246.063     180      "CONN USB MICRO B RECPT SMT R/A TH"     
U2         3.3V                            TopLayer    SOT230P700X180-4N        -511.811      -1173.228     360      "VREG LDO"                              
C33        "Voltage important"             BottomLayer TANT_B                   -448.819      -1405.512     180      "CAP 100u, 6.3V"                        
C25        "Voltage important"             TopLayer    TANT_B                   -263.779      -1228.347     270      "CAP 100u, 6.3V"                        
M3         "M3 Socket head Mounting Point" TopLayer    M3_Socket_head           -114.173      -2248.032     0        "M3 Socket head Mounting Point"         
