Altium Designer Pick and Place Locations
C:\Users\chrichar\Dropbox\VESC\VESC Legacy\ESC type 6\Project Outputs for ESC_type_6_000\Pick Place\Pick Place for ESC_type_6_000.txt

========================================================================================================================
File Design Information:

Date:       27/11/19
Time:       12:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                         Layer       Footprint                Center-X(mil) Center-Y(mil) Rotation Description                             
C39        CAP                             TopLayer    SMD-1206_Capacitor       -137.795      -641.732      270      "4.7µF 100V Ceramic Capacitor X7S 1206" 
C37        CAP                             TopLayer    SMD-0603_Capacitor       -744.095      -385.827      270      "CAP 22n, 50V, 0603"                    
U6         DRV8301                         TopLayer    SOP127P600-8N            -472.441      -659.449      90       "IC MOTOR CONTROLLER SPI 56HTSSOP"      
Q6         MOSFET_N                        TopLayer    DIRECTFET_1              -2102.362     -385.827      360      "MOSFET N-CH 60V 200A DIRECTFETL8"      
Q5         MOSFET_N                        TopLayer    DIRECTFET_1              -2104.331     -697.835      360      "MOSFET N-CH 60V 200A DIRECTFETL8"      
Q4         MOSFET_N                        TopLayer    DIRECTFET_1              -1661.417     -385.827      360      "MOSFET N-CH 60V 200A DIRECTFETL8"      
Q3         MOSFET_N                        TopLayer    DIRECTFET_1              -1661.417     -697.835      360      "MOSFET N-CH 60V 200A DIRECTFETL8"      
Q2         MOSFET_N                        TopLayer    DIRECTFET_1              -1214.567     -388.779      360      "MOSFET N-CH 60V 200A DIRECTFETL8"      
Q1         MOSFET_N                        TopLayer    DIRECTFET_1              -1216.535     -697.835      360      "MOSFET N-CH 60V 200A DIRECTFETL8"      
C107       CAP                             BottomLayer SMD-1206_Capacitor       -1960.630     -523.622      90       "4.7µF 100V Ceramic Capacitor X7S 1206" 
X1B        MINI_USB                        BottomLayer USB-MICRO_B_RA_SMT-TH    -582.677      -2257.874     180      "CONN USB MICRO B RECPT SMT R/A TH"     
U2         3.3V                            TopLayer    SOT230P700X180-4N        -541.339      -1151.575     270      "VREG LDO"                              
C33        "Voltage important"             TopLayer    TANT_B                   -708.661      -220.472      270      "CAP 100u, 6.3V"                        
C25        "Voltage important"             TopLayer    TANT_B                   -324.803      -1200.787     90       "CAP 100u, 6.3V"                        
M3         "M3 Socket head Mounting Point" TopLayer    M3_Socket_head           -114.173      -2248.032     0        "M3 Socket head Mounting Point"         
M1         "M3 Socket head Mounting Point" TopLayer    M3_Socket_head           -2248.032     -996.063      0        "M3 Socket head Mounting Point"         
R38        100                             BottomLayer SMD-0603_Resistor        -344.493      -1840.558     360      "R 100ohm, 0603"                        
R37        100                             BottomLayer SMD-0603_Resistor        -344.493      -1909.456     360      "R 100ohm, 0603"                        
R22        2.2k                            BottomLayer SMD-0603_Resistor        -344.493      -1771.660     360      "R 2.2k, 0603"                          
R5         2.2k                            BottomLayer SMD-0603_Resistor        -570.866      -1702.756     180      "R 2.2k, 0603"                          
K1         -                               BottomLayer HEADER_3_PIN             -78.740       -916.929      270      "Breakaway 3 pin Through hole"          
D3         LED_BLUE                        BottomLayer SMD-0603_LED_BLUE        -462.603      -1771.660     180      "LED Blue, 0603"                        
D2         LED_RED                         BottomLayer SMD-0603_LED_RED         -462.603      -1840.558     180      "LED Red, 0603"                         
D1         LED_GREEN                       BottomLayer SMD-0603_LED_GREEN       -462.603      -1909.456     180      "LED Green, 0603"                       
